competition,season,team_name,player_name,nation,position,age,born,matches_played,Playing Time_Starts,minutes,nineties,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Performance_2CrdY,fouls_committed,fouls_drawn,Performance_Off,crosses,interceptions,tackles_won,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls,shots,shots_on_target,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ESP-La Liga,2425,Las Palmas,Oliver McBurnie,SCO,FW,28,1996,34,20,1837,20.4,3,6,9,3,0,0,3,0,0.15,0.29,0.44,0.15,0.44,20.4,0,32,19,9,2,6,8,,,0,3,32,13,40.6,1.57,0.64,0.09,0.23,0,0
ESP-La Liga,2425,Las Palmas,Pejiño,ESP,MF,28,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0,1,0,1,,,0,0,1,0,0.0,5.63,0.0,0.0,,0,0
ESP-La Liga,2425,Las Palmas,Sandro Ramírez,ESP,"MF,FW",29,1995,31,25,2034,22.6,9,3,12,8,1,1,6,0,0.4,0.13,0.53,0.35,0.49,22.6,0,26,43,5,122,18,17,,,0,9,52,21,40.4,2.3,0.93,0.15,0.38,1,1
ESP-La Liga,2425,Las Palmas,Scott McKenna,SCO,DF,27,1996,29,28,2466,27.4,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,27.4,0,13,8,1,2,8,13,,,1,0,10,0,0.0,0.36,0.0,0.0,,0,0
ESP-La Liga,2425,Las Palmas,Sergio Viera,ESP,MF,19,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,0,1,1,0,0,1,1,,,0,0,1,0,0.0,0.94,0.0,0.0,,0,0
ESP-La Liga,2425,Las Palmas,Stefan Bajcetic,ESP,"MF,DF",19,2004,14,12,969,10.8,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,10.8,0,21,14,0,4,15,14,,,0,1,5,2,40.0,0.46,0.19,0.2,0.5,0,0
ESP-La Liga,2425,Las Palmas,Valentín Pezzolesi,ESP,DF,17,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Las Palmas,Viti,ESP,DF,26,1997,29,23,1982,22.0,0,2,2,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,22.0,0,28,31,0,46,25,47,,,0,0,3,2,66.7,0.14,0.09,0.0,0.0,0,0
ESP-La Liga,2425,Las Palmas,Álex Muñoz,ESP,DF,30,1994,21,18,1415,15.7,3,0,3,3,0,0,3,0,0.19,0.0,0.19,0.19,0.19,15.7,0,30,14,2,27,16,28,,,0,3,9,5,55.6,0.57,0.32,0.33,0.6,0,0
ESP-La Liga,2425,Las Palmas,Álex Suárez,ESP,DF,31,1993,30,30,2460,27.3,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,27.3,0,27,21,1,1,15,25,,,2,0,6,3,50.0,0.22,0.11,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Adrià Altimira,ESP,"DF,MF",23,2001,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,18.1,0,27,28,3,27,16,24,,,0,0,7,2,28.6,0.39,0.11,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Aritz Arambarri,ESP,DF,26,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,3,1,,,0,0,1,0,0.0,0.51,0.0,0.0,,0,0
ESP-La Liga,2425,Leganés,Borna Barišić,CRO,DF,31,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Leganés,Dani Raba,ESP,"MF,FW",28,1995,29,24,1879,20.9,8,6,14,4,4,5,6,0,0.38,0.29,0.67,0.19,0.48,20.9,0,40,56,9,87,13,23,,,0,8,44,17,38.6,2.11,0.81,0.09,0.24,4,5
ESP-La Liga,2425,Leganés,Darko Brašanac,SRB,MF,32,1992,30,15,1617,18.0,1,2,3,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,18.0,0,38,13,4,11,17,14,,,0,1,12,3,25.0,0.67,0.17,0.08,0.33,0,0
ESP-La Liga,2425,Leganés,Diego,ESP,"FW,MF",24,2000,28,13,1195,13.3,3,0,3,3,0,0,2,0,0.23,0.0,0.23,0.23,0.23,13.3,0,22,23,7,5,3,1,,,0,3,29,9,31.0,2.18,0.68,0.1,0.33,0,0
ESP-La Liga,2425,Leganés,Duk,CPV,MF,24,2000,10,1,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0,5,13,0,8,1,4,,,0,0,2,1,50.0,1.01,0.5,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Enric Franquesa,ESP,"MF,DF",27,1997,12,7,616,6.8,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,6.8,0,8,6,0,16,4,9,,,0,1,3,1,33.3,0.44,0.15,0.33,1.0,0,0
ESP-La Liga,2425,Leganés,Javi Hernández,ESP,DF,26,1998,31,27,2389,26.5,2,1,3,2,0,0,6,0,0.08,0.04,0.11,0.08,0.11,26.5,0,49,16,5,52,22,15,,,0,2,17,6,35.3,0.64,0.23,0.12,0.33,0,0
ESP-La Liga,2425,Leganés,Jorge Sáenz,ESP,DF,27,1996,23,19,1690,18.8,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,18.8,0,30,15,1,0,23,23,,,1,1,8,3,37.5,0.43,0.16,0.13,0.33,0,0
ESP-La Liga,2425,Leganés,Juan Cruz,ESP,"MF,DF",24,2000,34,26,2257,25.1,5,4,9,5,0,0,2,0,0.2,0.16,0.36,0.2,0.36,25.1,0,14,23,7,91,13,16,,,0,5,33,14,42.4,1.32,0.56,0.15,0.36,0,0
ESP-La Liga,2425,Leganés,Juan Soriano,ESP,GK,26,1997,6,6,540,6.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,6.0,0,0,3,0,0,0,1,,,1,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Leganés,Julián Chicco,ARG,"MF,DF",26,1998,14,2,302,3.4,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,3.4,0,1,3,0,3,4,7,,,0,0,3,1,33.3,0.89,0.3,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Marko Dmitrović,SRB,GK,32,1992,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32.0,0,1,6,0,0,0,1,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Leganés,Matija Nastasić,SRB,DF,31,1993,26,24,2110,23.4,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,23.4,0,15,8,2,0,21,12,,,0,1,2,1,50.0,0.09,0.04,0.5,1.0,0,0
ESP-La Liga,2425,Leganés,Miguel,ESP,FW,24,1999,34,17,1724,19.2,1,3,4,0,1,2,3,0,0.05,0.16,0.21,0.0,0.16,19.2,0,23,30,12,10,3,7,,,0,1,35,16,45.7,1.83,0.84,0.0,0.0,1,2
ESP-La Liga,2425,Leganés,Munir El Haddadi,MAR,"MF,FW",28,1995,25,10,862,9.6,4,0,4,4,0,0,1,1,0.42,0.0,0.42,0.42,0.42,9.6,0,14,39,7,13,1,9,,,0,4,21,9,42.9,2.19,0.94,0.19,0.44,0,0
ESP-La Liga,2425,Leganés,Renato Tapia,PER,"MF,DF",29,1995,34,28,2424,26.9,1,0,1,1,0,0,8,0,0.04,0.0,0.04,0.04,0.04,26.9,0,38,34,0,12,30,36,,,0,1,14,6,42.9,0.52,0.22,0.07,0.17,0,0
ESP-La Liga,2425,Leganés,Roberto López,ESP,MF,24,2000,13,3,396,4.4,0,1,1,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,4.4,0,1,3,0,23,1,5,,,0,0,6,1,16.7,1.36,0.23,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Sergi,ESP,DF,32,1992,36,33,2957,32.9,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,32.9,0,30,12,7,1,38,29,,,1,2,13,5,38.5,0.4,0.15,0.15,0.4,0,0
ESP-La Liga,2425,Leganés,Seydouba Cissé,GUI,MF,23,2001,34,31,2435,27.1,3,1,4,3,0,0,3,1,0.11,0.04,0.15,0.11,0.15,27.1,0,39,25,2,10,14,36,,,0,3,24,5,20.8,0.89,0.18,0.13,0.6,0,0
ESP-La Liga,2425,Leganés,Sébastien Haller,CIV,FW,30,1994,8,5,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5,0,4,5,7,0,0,0,,,0,0,4,1,25.0,0.89,0.22,0.0,0.0,0,0
ESP-La Liga,2425,Leganés,Valentin Rosier,FRA,DF,27,1996,32,28,2595,28.8,1,2,3,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,28.8,0,44,18,8,39,50,54,,,0,1,14,4,28.6,0.49,0.14,0.07,0.25,0,0
ESP-La Liga,2425,Leganés,Yan Diomandé,CIV,MF,17,2006,10,6,545,6.1,2,1,3,2,0,0,1,0,0.33,0.17,0.5,0.33,0.5,6.1,0,8,16,2,12,8,9,,,0,2,11,3,27.3,1.82,0.5,0.18,0.67,0,0
ESP-La Liga,2425,Leganés,Yvan Neyou,CMR,MF,27,1997,30,27,2312,25.7,1,1,2,1,0,0,14,0,0.04,0.04,0.08,0.04,0.08,25.7,0,33,50,0,15,27,34,,,0,1,16,3,18.8,0.62,0.12,0.06,0.33,0,0
ESP-La Liga,2425,Leganés,Óscar Rodríguez Arnaiz,ESP,MF,26,1998,29,12,1330,14.8,1,4,5,1,0,0,6,1,0.07,0.27,0.34,0.07,0.34,14.8,0,19,25,1,55,21,17,,,0,1,33,6,18.2,2.23,0.41,0.03,0.17,0,0
ESP-La Liga,2425,Mallorca,Abdón Prats,ESP,"FW,MF",31,1992,24,3,456,5.1,2,0,2,1,1,1,4,0,0.39,0.0,0.39,0.2,0.2,5.1,0,6,19,2,0,2,1,,,0,2,14,6,42.9,2.76,1.18,0.07,0.17,1,1
ESP-La Liga,2425,Mallorca,Antonio Raillo,ESP,DF,32,1991,36,36,3207,35.6,2,0,2,2,0,0,7,1,0.06,0.0,0.06,0.06,0.06,35.6,0,50,9,2,2,27,15,,,0,2,35,8,22.9,0.98,0.22,0.06,0.25,0,0
ESP-La Liga,2425,Mallorca,Antonio Sánchez,ESP,"MF,DF",27,1997,33,12,1395,15.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,15.5,0,23,11,4,33,18,17,,,0,0,17,2,11.8,1.1,0.13,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Chiquinho,POR,MF,24,2000,8,1,146,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.6,0,6,7,0,9,1,0,,,0,0,4,2,50.0,2.47,1.23,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Copete,ESP,DF,24,1999,25,16,1528,17.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,17.0,0,27,13,0,7,18,18,,,0,0,6,2,33.3,0.35,0.12,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Cyle Larin,CAN,FW,29,1995,32,21,1764,19.6,7,2,9,6,1,1,4,0,0.36,0.1,0.46,0.31,0.41,19.6,0,32,32,24,6,2,5,,,0,7,39,15,38.5,1.99,0.77,0.15,0.4,1,1
ESP-La Liga,2425,Mallorca,Dani Rodríguez,ESP,"MF,FW",36,1988,37,26,2162,24.0,4,7,11,4,0,0,5,0,0.17,0.29,0.46,0.17,0.46,24.0,0,51,40,8,116,12,28,,,0,4,31,10,32.3,1.29,0.42,0.13,0.4,0,0
ESP-La Liga,2425,Mallorca,Daniel Luna,COL,MF,21,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0,3,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Mallorca,David López,ESP,DF,21,2003,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9,0,0,0,0,0,2,2,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Mallorca,Dominik Greif,SVK,GK,27,1997,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31.0,0,0,3,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Mallorca,Jan Salas,ESP,MF,18,2005,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,3,0,1,0,1,,,0,0,2,0,0.0,4.19,0.0,0.0,,0,0
ESP-La Liga,2425,Mallorca,Javier Llabrés,ESP,MF,21,2002,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0,0,1,1,4,0,0,,,0,0,1,0,0.0,1.58,0.0,0.0,,0,0
ESP-La Liga,2425,Mallorca,Johan Mojica,COL,DF,31,1992,36,30,2755,30.6,1,2,3,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,30.6,0,18,24,0,143,28,23,,,0,1,17,3,17.6,0.56,0.1,0.06,0.33,0,0
ESP-La Liga,2425,Mallorca,Leo Román,ESP,GK,24,2000,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,1,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Mallorca,Manu Morlanes,ESP,MF,25,1999,23,15,1338,14.9,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,14.9,0,15,13,0,8,23,30,,,0,0,11,1,9.1,0.74,0.07,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Marc Domenech,ESP,"FW,MF",18,2006,10,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.4,0,5,1,0,4,0,4,,,0,0,8,2,25.0,2.38,0.59,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Martin Valjent,SVK,DF,28,1995,31,31,2763,30.7,3,0,3,3,0,0,4,0,0.1,0.0,0.1,0.1,0.1,30.7,0,15,13,0,11,18,21,,,0,3,12,5,41.7,0.39,0.16,0.25,0.6,0,0
ESP-La Liga,2425,Mallorca,Mateu Morey,ESP,DF,24,2000,16,8,741,8.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8.2,0,17,10,1,16,17,18,,,0,0,3,1,33.3,0.36,0.12,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Omar Mascarell,EQG,MF,31,1993,32,21,1992,22.1,1,0,1,1,0,0,5,1,0.05,0.0,0.05,0.05,0.05,22.1,0,30,13,0,5,51,12,,,0,1,9,2,22.2,0.41,0.09,0.11,0.5,0,0
ESP-La Liga,2425,Mallorca,Pablo Maffeo,ESP,DF,27,1997,30,28,2368,26.3,0,2,2,0,0,0,7,0,0.0,0.08,0.08,0.0,0.08,26.3,0,23,37,1,96,27,41,,,0,0,7,1,14.3,0.27,0.04,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Roberto Navarro,ESP,MF,22,2002,23,15,1278,14.2,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,14.2,0,14,21,2,30,19,22,,,0,1,18,6,33.3,1.27,0.42,0.06,0.17,0,0
ESP-La Liga,2425,Mallorca,Samu Costa,POR,MF,23,2000,32,31,2649,29.4,0,2,2,0,0,0,10,1,0.0,0.07,0.07,0.0,0.07,29.4,1,62,63,2,21,32,42,,,0,0,30,8,26.7,1.02,0.27,0.0,0.0,0,0
ESP-La Liga,2425,Mallorca,Sergi Darder,ESP,MF,30,1993,38,34,2744,30.5,2,6,8,2,0,0,4,0,0.07,0.2,0.26,0.07,0.26,30.5,0,21,37,3,159,15,26,,,0,2,36,9,25.0,1.18,0.3,0.06,0.22,0,0
ESP-La Liga,2425,Mallorca,Siebe Van Der Heyden,BEL,DF,26,1998,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,2,0,0,2,2,1,,,0,0,1,0,0.0,0.93,0.0,0.0,,0,0
ESP-La Liga,2425,Mallorca,Takuma Asano,JPN,"MF,FW",29,1994,21,13,1054,11.7,2,1,3,2,0,0,0,0,0.17,0.09,0.26,0.17,0.26,11.7,0,5,15,6,20,8,9,,,0,2,28,8,28.6,2.39,0.68,0.07,0.25,0,0
ESP-La Liga,2425,Mallorca,Toni Lato,ESP,DF,26,1997,14,7,621,6.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,6.9,0,12,3,2,24,5,12,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Mallorca,Valery Fernández,ESP,MF,24,1999,18,1,309,3.4,2,0,2,2,0,0,1,0,0.58,0.0,0.58,0.58,0.58,3.4,0,3,1,1,4,0,7,,,0,2,3,3,100.0,0.87,0.87,0.67,0.67,0,0
ESP-La Liga,2425,Mallorca,Vedat Muriqi,KVX,FW,30,1994,29,24,2058,22.9,7,2,9,5,2,3,1,2,0.31,0.09,0.39,0.22,0.31,22.9,0,29,41,19,10,7,4,,,1,7,54,19,35.2,2.36,0.83,0.09,0.26,2,3
ESP-La Liga,2425,Osasuna,Abel Bretones,ESP,"DF,MF",23,2000,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,23.0,0,25,32,3,84,19,37,,,0,2,12,4,33.3,0.52,0.17,0.17,0.5,0,0
ESP-La Liga,2425,Osasuna,Aimar Oroz,ESP,MF,22,2001,37,35,2966,33.0,5,4,9,4,1,1,8,0,0.15,0.12,0.27,0.12,0.24,33.0,0,28,64,5,32,22,20,,,0,5,48,16,33.3,1.46,0.49,0.08,0.25,1,1
ESP-La Liga,2425,Osasuna,Aitor Fernández,ESP,GK,33,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Osasuna,Ante Budimir,CRO,FW,33,1991,38,34,2952,32.8,21,4,25,13,8,8,4,0,0.64,0.12,0.76,0.4,0.52,32.8,0,47,35,15,6,1,9,,,0,21,99,37,37.4,3.02,1.13,0.13,0.35,8,8
ESP-La Liga,2425,Osasuna,Bryan Zaragoza,ESP,"MF,FW",22,2001,27,22,1836,20.4,1,6,7,1,0,0,4,0,0.05,0.29,0.34,0.05,0.34,20.4,0,19,39,9,103,5,11,,,0,1,42,13,31.0,2.06,0.64,0.02,0.08,0,0
ESP-La Liga,2425,Osasuna,Catena,ESP,DF,29,1994,35,35,3074,34.2,1,3,4,1,0,0,11,0,0.03,0.09,0.12,0.03,0.12,34.2,0,36,14,1,2,31,28,,,0,1,20,5,25.0,0.59,0.15,0.05,0.2,0,0
ESP-La Liga,2425,Osasuna,Enzo Boyomo,CMR,DF,22,2001,34,33,2987,33.2,2,0,2,2,0,0,5,0,0.06,0.0,0.06,0.06,0.06,33.2,0,43,8,0,2,41,44,,,0,2,12,3,25.0,0.36,0.09,0.17,0.67,0,0
ESP-La Liga,2425,Osasuna,Iker Benito,ESP,"FW,MF",21,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0,1,1,0,2,1,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Osasuna,Iker Muñoz,ESP,MF,21,2002,23,4,610,6.8,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,6.8,0,12,14,0,7,5,2,,,0,0,11,0,0.0,1.62,0.0,0.0,,0,0
ESP-La Liga,2425,Osasuna,Javi Martínez,ESP,MF,24,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Osasuna,Jesús Areso,ESP,DF,25,1999,36,35,3079,34.2,0,3,3,0,0,0,9,0,0.0,0.09,0.09,0.0,0.09,34.2,0,31,20,8,170,8,41,,,0,0,8,0,0.0,0.23,0.0,0.0,,0,0
ESP-La Liga,2425,Osasuna,Jon Moncayola,ESP,MF,26,1998,32,26,2099,23.3,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,23.3,0,34,9,0,109,11,39,,,0,0,21,9,42.9,0.9,0.39,0.0,0.0,0,0
ESP-La Liga,2425,Osasuna,Jorge Herrando,ESP,DF,23,2001,18,15,1366,15.2,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,15.2,0,25,2,0,1,12,10,,,0,1,12,3,25.0,0.79,0.2,0.08,0.33,0,0
ESP-La Liga,2425,Osasuna,José Arnaiz,ESP,MF,29,1995,15,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,5,4,17,4,5,,,0,0,6,3,50.0,4.06,2.03,0.0,0.0,0,0
ESP-La Liga,2425,Osasuna,Juan Cruz Armada,ESP,DF,32,1992,25,19,1492,16.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,16.6,0,16,2,2,10,9,15,,,0,0,4,0,0.0,0.24,0.0,0.0,,0,0
ESP-La Liga,2425,Osasuna,Kike Barja,ESP,"FW,MF",27,1997,15,3,315,3.5,0,1,1,0,0,0,3,0,0.0,0.29,0.29,0.0,0.29,3.5,0,9,4,1,37,3,4,,,0,0,4,1,25.0,1.14,0.29,0.0,0.0,0,0
ESP-La Liga,2425,Osasuna,Lucas Torró,ESP,MF,30,1994,35,35,2957,32.9,3,0,3,3,0,0,10,0,0.09,0.0,0.09,0.09,0.09,32.9,0,75,37,1,1,45,43,,,0,3,31,7,22.6,0.94,0.21,0.1,0.43,0,0
ESP-La Liga,2425,Osasuna,Moi Gómez,ESP,"MF,FW",30,1994,26,6,796,8.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8.8,0,14,6,1,26,7,9,,,1,0,6,1,16.7,0.68,0.11,0.0,0.0,0,0
ESP-La Liga,2425,Osasuna,Nacho Vidal,ESP,DF,29,1995,5,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4,0,2,1,0,2,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Osasuna,Pablo Ibáñez,ESP,MF,25,1998,28,13,1294,14.4,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,14.4,0,28,29,0,13,18,11,,,0,1,20,5,25.0,1.39,0.35,0.05,0.2,0,0
ESP-La Liga,2425,Osasuna,Raúl,ESP,FW,23,2000,32,5,750,8.3,4,0,4,4,0,0,1,0,0.48,0.0,0.48,0.48,0.48,8.3,0,11,12,6,6,1,7,,,0,4,25,12,48.0,3.0,1.44,0.16,0.33,0,0
ESP-La Liga,2425,Osasuna,Rubén García,ESP,"FW,MF",31,1993,36,30,2413,26.8,5,5,10,5,0,0,2,0,0.19,0.19,0.37,0.19,0.37,26.8,0,36,31,10,135,17,31,,,0,5,27,10,37.0,1.01,0.37,0.19,0.5,0,0
ESP-La Liga,2425,Osasuna,Rubén Peña,ESP,"FW,DF",33,1991,25,7,775,8.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8.6,0,12,7,0,52,7,5,,,0,0,10,3,30.0,1.16,0.35,0.0,0.0,0,0
ESP-La Liga,2425,Osasuna,Sergio Herrera,ESP,GK,31,1993,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,37.0,0,1,4,0,0,0,2,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Osasuna,Unai García,ESP,DF,32,1992,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0,3,3,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Rayo Vallecano,Abdul Mumin,GHA,DF,26,1998,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.09,0.04,0.13,0.09,0.13,22.4,0,22,12,0,6,22,25,,,0,2,10,4,40.0,0.45,0.18,0.2,0.5,0,0
ESP-La Liga,2425,Rayo Vallecano,Adri Embarba,ESP,"MF,FW",32,1992,35,18,1607,17.9,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,17.9,0,25,21,14,114,14,21,,,0,1,37,12,32.4,2.07,0.67,0.03,0.08,0,0
ESP-La Liga,2425,Rayo Vallecano,Alfonso Espino,URU,DF,32,1992,16,9,833,9.3,0,1,1,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,9.3,0,18,15,0,25,12,24,,,0,0,10,2,20.0,1.08,0.22,0.0,0.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Andrei Ratiu,ROU,"DF,MF",26,1998,35,34,3065,34.1,2,3,5,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,34.1,0,25,21,5,79,26,46,,,0,2,31,8,25.8,0.91,0.23,0.06,0.25,0,0
ESP-La Liga,2425,Rayo Vallecano,Aridane Hernández,ESP,DF,35,1989,14,11,1025,11.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,11.4,0,5,10,0,0,6,11,,,1,0,8,2,25.0,0.7,0.18,0.0,0.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Augusto Batalla,ARG,GK,28,1996,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,32.0,0,1,6,0,0,0,3,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Rayo Vallecano,Dani Cárdenas,ESP,GK,27,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Rayo Vallecano,Etienne Eto'o,CMR,FW,21,2002,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,1,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Rayo Vallecano,Florian Lejeune,FRA,DF,33,1991,37,37,3325,36.9,2,3,5,2,0,0,8,0,0.05,0.08,0.14,0.05,0.14,36.9,0,50,19,0,8,42,28,,,0,2,58,17,29.3,1.57,0.46,0.03,0.12,0,0
ESP-La Liga,2425,Rayo Vallecano,Gerard Gumbau,ESP,MF,29,1994,22,7,849,9.4,0,1,1,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,9.4,0,21,11,1,38,5,12,,,0,0,14,5,35.7,1.48,0.53,0.0,0.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Isaac Palazón Camacho,ESP,"MF,FW",29,1994,35,25,2162,24.0,4,4,8,4,0,0,5,0,0.17,0.17,0.33,0.17,0.33,24.0,0,39,53,3,109,8,18,,,0,4,61,18,29.5,2.54,0.75,0.07,0.22,0,0
